id,department_id,name,url,description,capacity,created_at,updated_at
1,1,TEC Conference Room,https://maps.duke.edu/?focus=206,Conference room 132 is inside the Technology Engagement Center(TEC) located in the Telcom building on West Campus. The room can fit 20 people comfortably.,20,2022-08-12 15:15:16.953733,2022-08-18 17:34:23.955532
2,1,TEC Studio,https://maps.duke.edu/?focus=206,"This is the studio at the TEC. You should see it immediately when you walk in.
Watch a video on how to get there here: https://www.youtube.com/watch?v=vJP5ptWfoRo",30,2022-08-12 15:15:47.028290,2022-08-12 15:40:48.732057
3,1,The Ruby Makerspace,https://maps.duke.edu/?focus=351,"Makerspace in the Rubenstein Arts Center. 
Read more here: https://artscenter.duke.edu/makerspace/
Watch a video on how to get there here: https://www.youtube.com/watch?v=vJP5ptWfoRo",20,2022-08-12 15:40:09.209773,2022-09-14 13:51:54.154663
4,1,Zoom,https://duke.zoom.us/u/acjXJ10A7,Virtual/Zoom meeting,50,2022-08-12 16:07:54.941975,2022-08-12 16:07:54.941975
5,1,MPS,https://oit.duke.edu/what-we-do/services/multimedia-project-studio,MPS,6,2022-08-12 17:10:30.608988,2022-08-12 17:10:30.608988
6,1,EdStem,https://edstem.org/us/courses/7749/lessons/,"Self-paced learning opportunities for everyone! If you don't have access to EdStem, visit https://edstem.org/us/join/bdpBm3 to join. You will be prompted to sign in via shib. ",,2022-08-16 17:38:53.001945,2022-08-16 17:38:53.001945
7,6,Arts Annex Studio Space,https://maps.duke.edu/?focus=239,"The Arts Annex is a hub of Duke’s student art scene and houses studio arts (including ceramics, screen printing, and visual arts), rehearsal, and programming spaces. We strive to build a vibrant community by providing resources, programming, and a welcoming environment that inspires self-expression, exploration and collaboration. Throughout the academic year, the Arts Annex hosts the  DukeCreate workshop series  and welcomes student groups and programs. Admission and materials are free to all current Duke students.",20,2023-01-25 17:14:20.645310,2023-03-24 17:12:54.704770
8,6,Arts Annex Ceramics Studio,https://maps.duke.edu/?focus=239,"The Arts Annex is a hub of Duke’s student art scene and houses studio arts (including ceramics, screen printing, and visual arts), rehearsal, and programming spaces. We strive to build a vibrant community by providing resources, programming, and a welcoming environment that inspires self-expression, exploration and collaboration. Throughout the academic year, the Arts Annex hosts the  DukeCreate workshop series  and welcomes student groups and programs. Admission and materials are free to all current Duke students.",12,2023-01-25 17:14:58.827548,2023-02-01 04:23:10.917600
11,6,Duke Arts House,https://maps.duke.edu/?focus=360,"This former faculty home now serves as admin offices for Marketing&Communications, Programming ,and Production teams at Duke Arts. DukeCreate workshops will be held in the building's conference room after-hours. ",12,2023-02-01 03:56:15.650745,2023-11-17 14:28:56.979072
12,6,The Ark,https://maps.duke.edu/?focus=162,The Ark is primarily used for dance classes and student production rehearsals and will play host to a few of the movement workshops that DukeCreate holds. ,20,2023-02-01 03:57:40.985091,2023-02-01 04:23:41.846943
